country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
VUT,YR2023,Vanuatu,2023,3482.61458237637,113.170782080259,134.670675170038,,66.219
VUT,YR2022,Vanuatu,2022,3370.21191956953,118.366532355349,81.9551276325385,,67.185
VUT,YR2021,Vanuatu,2021,3107.20312858002,122.872890234772,62.9433097839355,,68.166
VUT,YR2020,Vanuatu,2020,3042.98711598286,125.124809265137,59.1688003540039,,69.095
UZB,YR2024,Uzbekistan,2024,3161.70010632875,94.4316700664149,96.8399222342106,56.517478700865,34.138
UZB,YR2023,Uzbekistan,2023,2878.96879292451,93.4888259225367,97.3839945834102,45.7591768686293,34.081
UZB,YR2022,Uzbekistan,2022,2578.66689394219,93.9099780290139,97.3779819618405,31.701936179599,34.418
UZB,YR2021,Uzbekistan,2021,2258.51964119278,97.9289255849279,97.2589036917117,22.0939011675309,31.127
UZB,YR2020,Uzbekistan,2020,1978.28051860763,98.615310525126,90.0642970154019,15.9720957084892,21.316
URY,YR2024,Uruguay,2024,23906.5133029408,,,,25.096
URY,YR2023,Uruguay,2023,23019.4221560046,104.532465643859,119.105005958635,79.9536903496537,26.188
URY,YR2022,Uruguay,2022,20818.6146091144,108.822761535645,121.137930191204,76.3977408357972,26.487
URY,YR2021,Uruguay,2021,17881.818721099,107.99080657959,119.826342137062,75.1713873701582,27.356
URY,YR2020,Uruguay,2020,15757.5355995779,105.236604559537,116.991828918457,64.9332150107214,29.59
USA,YR2024,United States,2024,84534.0407841548,,,,12.412
USA,YR2023,United States,2023,81032.262117545,,,,13.145
USA,YR2022,United States,2022,76657.2488844403,96.9717330932617,97.4734878540039,79.361930847168,13.628
USA,YR2021,United States,2021,70205.050916026,98.3054885864258,101.192489624023,84.8550872802734,13.724
USA,YR2020,United States,2020,63515.9491807833,100.305793762207,100.509819030762,87.5676574707031,14.719
GBR,YR2024,United Kingdom,2024,53246.3676145108,,,,7.817
